OID,BlockCode,GEO_ID,BCTCB2010,BoroCode,NTA Code,NTA Name,Borough,PUMA,Maximum Residential Broadband Speed by Block,Residential ISP Count by Block,Commerical Fiber Count by Block
114,360610018006000,360610018006,10018006000,1,MN27,Chinatown,Manhattan,3809,940,1,1
115,360610018006001,360610018006,10018006001,1,MN27,Chinatown,Manhattan,3809,940,1,1
116,360610006001001,360610006001,10006001001,1,MN28,Lower East Side,Manhattan,3809,940,2,3
117,360610006001000,360610006001,10006001000,1,MN28,Lower East Side,Manhattan,3809,940,2,3
118,360610006003001,360610006003,10006003001,1,MN28,Lower East Side,Manhattan,3809,940,1,3
119,360610006001002,360610006001,10006001002,1,MN28,Lower East Side,Manhattan,3809,940,2,3
120,360610006002000,360610006002,10006002000,1,MN28,Lower East Side,Manhattan,3809,940,2,3
121,360610006002001,360610006002,10006002001,1,MN28,Lower East Side,Manhattan,3809,940,2,3
122,360610006002002,360610006002,10006002002,1,MN28,Lower East Side,Manhattan,3809,940,2,3
123,360610006002003,360610006002,10006002003,1,MN28,Lower East Side,Manhattan,3809,940,2,3
124,360610006002004,360610006002,10006002004,1,MN28,Lower East Side,Manhattan,3809,940,2,4
125,360610006003000,360610006003,10006003000,1,MN28,Lower East Side,Manhattan,3809,940,1,3
126,360610006003002,360610006003,10006003002,1,MN28,Lower East Side,Manhattan,3809,940,1,2
127,360610006004000,360610006004,10006004000,1,MN28,Lower East Side,Manhattan,3809,940,2,3
128,360610006004001,360610006004,10006004001,1,MN28,Lower East Side,Manhattan,3809,940,1,2
129,360610006005000,360610006005,10006005000,1,MN28,Lower East Side,Manhattan,3809,940,2,3
130,360610006005002,360610006005,10006005002,1,MN28,Lower East Side,Manhattan,3809,940,2,3
131,360610006006000,360610006006,10006006000,1,MN28,Lower East Side,Manhattan,3809,940,2,3
132,360610006006001,360610006006,10006006001,1,MN28,Lower East Side,Manhattan,3809,940,2,3
133,360610006006002,360610006006,10006006002,1,MN28,Lower East Side,Manhattan,3809,940,2,3
134,360610006006003,360610006006,10006006003,1,MN28,Lower East Side,Manhattan,3809,940,1,2
135,360610006006004,360610006006,10006006004,1,MN28,Lower East Side,Manhattan,3809,940,1,2
136,360610006000001,360610006000,10006000001,1,MN28,Lower East Side,Manhattan,3809,,,
137,360610006002005,360610006002,10006002005,1,MN28,Lower East Side,Manhattan,3809,940,2,2
138,360610006002006,360610006002,10006002006,1,MN28,Lower East Side,Manhattan,3809,940,1,1
139,360610006005001,360610006005,10006005001,1,MN28,Lower East Side,Manhattan,3809,940,2,2
140,360610078004002,360610078004,10078004002,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,4
141,360610078002004,360610078002,10078002004,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,3
142,360610078006002,360610078006,10078006002,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,940,2,3
143,360610078001001,360610078001,10078001001,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,4
144,360610078002002,360610078002,10078002002,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,940,2,3
145,360610078007000,360610078007,10078007000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,3
146,360610078002003,360610078002,10078002003,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,940,2,4
147,360610078004001,360610078004,10078004001,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,940,2,4
148,360610078001000,360610078001,10078001000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,5
149,360610078002000,360610078002,10078002000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,4
150,360610078002005,360610078002,10078002005,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,4
151,360610078003000,360610078003,10078003000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,3
152,360610078004000,360610078004,10078004000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,3
153,360610078005003,360610078005,10078005003,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,3,5
154,360610078006000,360610078006,10078006000,1,MN20,Murray Hill-Kips Bay,Manhattan,3808,1000,4,5
